engine	case	quantity	status	value	note
oracle-unifac-kero	ethanol-water@x1=0.5	tbub_c	ok	7.9882945386e+01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-kero	ethanol-water@x1=0.5	y1	ok	6.5529228150e-01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-corr	ethanol-water@x1=0.7	tbub_c	ok	7.8656234035e+01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-corr	ethanol-water@x1=0.7	y1	ok	7.5817109416e-01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-kero	ethanol-water@x1=0.7	tbub_c	ok	7.8598113124e+01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-kero	ethanol-water@x1=0.7	y1	ok	7.5952194323e-01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-corr	ethanol-water@x1=0.9	tbub_c	ok	7.8154911696e+01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-corr	ethanol-water@x1=0.9	y1	ok	8.9880284770e-01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-kero	ethanol-water@x1=0.9	tbub_c	ok	7.8073676164e+01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-kero	ethanol-water@x1=0.9	y1	ok	8.9947128317e-01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-corr	methanol-water@x1=0.1	tbub_c	ok	8.7680882806e+01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-corr	methanol-water@x1=0.1	y1	ok	4.2266589120e-01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-kero	methanol-water@x1=0.1	tbub_c	ok	8.7732663508e+01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-kero	methanol-water@x1=0.1	y1	ok	4.2291486163e-01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-corr	methanol-water@x1=0.3	tbub_c	ok	7.8162092644e+01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-corr	methanol-water@x1=0.3	y1	ok	6.6904408648e-01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-kero	methanol-water@x1=0.3	tbub_c	ok	7.8220878864e+01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-kero	methanol-water@x1=0.3	y1	ok	6.6932066658e-01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-corr	methanol-water@x1=0.5	tbub_c	ok	7.3154756155e+01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-corr	methanol-water@x1=0.5	y1	ok	7.8637802651e-01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-kero	methanol-water@x1=0.5	tbub_c	ok	7.3213689319e+01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-kero	methanol-water@x1=0.5	y1	ok	7.8659688557e-01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-corr	methanol-water@x1=0.7	tbub_c	ok	6.9347577114e+01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-corr	methanol-water@x1=0.7	y1	ok	8.7694810825e-01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-kero	methanol-water@x1=0.7	tbub_c	ok	6.9405153839e+01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-kero	methanol-water@x1=0.7	y1	ok	8.7709065998e-01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-corr	methanol-water@x1=0.9	tbub_c	ok	6.6031331515e+01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-corr	methanol-water@x1=0.9	y1	ok	9.5967446112e-01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-kero	methanol-water@x1=0.9	tbub_c	ok	6.6086716013e+01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-kero	methanol-water@x1=0.9	y1	ok	9.5972586953e-01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-corr	acetone-water@x1=0.1	tbub_c	ok	6.7596217924e+01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-corr	acetone-water@x1=0.1	y1	ok	7.4050883002e-01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-kero	acetone-water@x1=0.1	tbub_c	ok	6.7726548778e+01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-kero	acetone-water@x1=0.1	y1	ok	7.3999093473e-01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-corr	acetone-water@x1=0.3	tbub_c	ok	6.2010599811e+01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-corr	acetone-water@x1=0.3	y1	ok	8.0894810686e-01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-kero	acetone-water@x1=0.3	tbub_c	ok	6.2124487857e+01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-kero	acetone-water@x1=0.3	y1	ok	8.0868680163e-01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-corr	acetone-water@x1=0.5	tbub_c	ok	5.9793882516e+01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-corr	acetone-water@x1=0.5	y1	ok	8.4004431677e-01	thermo UNIFAC + thermo Psat (HEOS_FIT/IAPWS_PSAT)
oracle-unifac-kero	acetone-water@x1=0.5	tbub_c	ok	5.9901735555e+01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
oracle-unifac-kero	acetone-water@x1=0.5	y1	ok	8.3985598437e-01	thermo UNIFAC + kerotakis Antoine (isolates gamma)
