engine	case	quantity	status	value	note
adapter	ethanoic-acid-water@x1=0.7	tbub_c	ok	9.7536739195e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	ethanoic-acid-water@x1=0.9	tbub_c	ok	1.0066427087e2	feos PC-SAFT (BRD-030 spike adapter)
kerotakis	acetone-methanol@x1=0.1	tbub_c	ok	6.1499531783e1	Antoine+UNIFAC
kerotakis	acetone-methanol@x1=0.1	y1	ok	1.9715613143e-1	Antoine+UNIFAC
kerotakis	acetone-methanol@x1=0.3	tbub_c	ok	5.7972393580e1	Antoine+UNIFAC
kerotakis	acetone-methanol@x1=0.3	y1	ok	4.3071640923e-1	Antoine+UNIFAC
kerotakis	acetone-methanol@x1=0.5	tbub_c	ok	5.6186844872e1	Antoine+UNIFAC
kerotakis	acetone-methanol@x1=0.5	y1	ok	5.8272241148e-1	Antoine+UNIFAC
kerotakis	acetone-methanol@x1=0.7	tbub_c	ok	5.5374744211e1	Antoine+UNIFAC
kerotakis	acetone-methanol@x1=0.7	y1	ok	7.1951815937e-1	Antoine+UNIFAC
kerotakis	acetone-methanol@x1=0.9	tbub_c	ok	5.5526676782e1	Antoine+UNIFAC
kerotakis	acetone-methanol@x1=0.9	y1	ok	8.8569862232e-1	Antoine+UNIFAC
kerotakis	acetone-methanol@flash	vapour_fraction	ok	1.0000000000e0	Antoine+UNIFAC
feos-pcsaft	acetone-methanol@x1=0.1	tbub_c	ok	6.2015080748e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-methanol@x1=0.1	y1	ok	1.8216012189e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-methanol@x1=0.3	tbub_c	ok	5.8340344848e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-methanol@x1=0.3	y1	ok	4.3247713251e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-methanol@x1=0.5	tbub_c	ok	5.6184652574e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-methanol@x1=0.5	y1	ok	5.9830393965e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-methanol@x1=0.7	tbub_c	ok	5.5093573700e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-methanol@x1=0.7	y1	ok	7.3252989859e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-methanol@x1=0.9	tbub_c	ok	5.5124878299e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-methanol@x1=0.9	y1	ok	8.8190365102e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-methanol@flash	vapour_fraction	unavailable		No phase split according to stability analysis.
adapter	acetone-methanol@x1=0.1	tbub_c	ok	6.2015080748e1	feos PC-SAFT (BRD-030 spike adapter)
